match_id,match_type,tournament_name,tournament_code,tour,stage_name,stage_id,match_date,match_round,is_in_progress,live_time,match_winner,home_player_id,home_player_name,home_partner_id,home_partner_name,away_player_id,away_player_name,away_partner_id,away_partner_name,home_score,away_score,home_set1,away_set1,home_set2,away_set2,home_set3,away_set3,home_set1_tiebreak,away_set1_tiebreak,home_set2_tiebreak,away_set2_tiebreak
1724063,singles,Australian Open,australian-open,ATP,Men's Singles,24394,2026-01-19 07:10:00,2030,False,,2,978,Elias Ymer,,,99627,Alexander Shevchenko,,,1,3,6,3,5,7,4,6,,,,
1724020,singles,Australian Open,australian-open,ATP,Men's Singles,24394,2026-01-19 07:10:00,2015,False,,2,194138,Mariano Navone,,,5896,Hamad Medjedovic,,,1,3,2,6,7,6,4,6,,,7,3
1724030,singles,Australian Open,australian-open,ATP,Men's Singles,24394,2026-01-19 07:15:00,2032,False,,1,1128,Nuno Borges,,,707,Felix Auger Aliassime,,,2,1,3,6,6,4,6,4,,,,
1724029,singles,Australian Open,australian-open,ATP,Men's Singles,24394,2026-01-19 07:15:00,2026,False,,1,980,Quentin Halys,,,841,Alejandro Tabilo,,,3,0,6,2,6,2,7,6,,,,
1724027,singles,Australian Open,australian-open,ATP,Men's Singles,24394,2026-01-19 07:40:00,2025,False,,1,581,Daniil Medvedev,,,6804,Jesper de Jong,,,3,0,7,5,6,2,7,6,,,,
1724021,singles,Australian Open,australian-open,ATP,Men's Singles,24394,2026-01-19 08:35:00,2028,False,,1,9082,Fabian Marozsan,,,994,Arthur Rinderknech,,,3,1,6,3,6,4,6,7,,,,
1724014,singles,Australian Open,australian-open,ATP,Men's Singles,24394,2026-01-19 08:40:00,2005,False,,1,796,Tommy Paul,,,776,Aleksandar Kovacevic,,,3,0,6,4,6,3,6,3,,,,
1724041,singles,Australian Open,australian-open,ATP,Men's Singles,24394,2026-01-19 08:45:00,2046,False,,1,150212,Juncheng Shang,,,591,Roberto Bautista Agut,,,3,1,6,4,6,7,6,4,,,2,7
1724060,singles,Australian Open,australian-open,ATP,Men's Singles,24394,2026-01-19 09:00:00,2007,False,,2,263405,Nicolai Budkov Kjaer,,,1120,Reilly Opelka,,,0,3,4,6,3,6,4,6,,,,
1724022,singles,Australian Open,australian-open,ATP,Men's Singles,24394,2026-01-19 09:05:00,2024,False,,2,5661,Matteo Arnaldi,,,548,Andrey Rublev,,,0,3,4,6,2,6,3,6,,,,
